policy_id,account_id,producer_id,policy_number,product_code,policy_status,effective_date,expiration_date,cancellation_date,cancellation_reason,updated_timestamp
51,51,51,POL100051,HOME,CANCELLED,2023-02-21,2024-02-21,2023-08-20,Non-payment,2024-02-21 10:00:00
52,52,52,POL100052,COMM,ACTIVE,2023-02-22,2024-02-22,,,2024-02-22 10:00:00
53,53,53,POL100053,FIRE,EXPIRED,2023-02-23,2024-02-23,,,2024-02-23 10:00:00
54,54,54,POL100054,MARINE,CANCELLED,2023-02-24,2024-02-24,2023-08-23,Non-payment,2024-02-24 10:00:00
55,55,55,POL100055,LIABILITY,ACTIVE,2023-02-25,2024-02-25,,,2024-02-25 10:00:00
56,56,56,POL100056,WORKCOMP,EXPIRED,2023-02-26,2024-02-26,,,2024-02-26 10:00:00
57,57,57,POL100057,AUTO,CANCELLED,2023-02-27,2024-02-27,2023-08-26,Non-payment,2024-02-27 10:00:00
58,58,58,POL100058,HOME,ACTIVE,2023-02-28,2024-02-28,,,2024-02-28 10:00:00
59,59,59,POL100059,COMM,EXPIRED,2023-03-01,2024-02-29,,,2024-02-29 10:00:00
60,60,60,POL100060,FIRE,CANCELLED,2023-03-02,2024-03-01,2023-08-29,Non-payment,2024-03-01 10:00:00
61,61,61,POL100061,MARINE,ACTIVE,2023-03-03,2024-03-02,,,2024-03-02 10:00:00
62,62,62,POL100062,LIABILITY,EXPIRED,2023-03-04,2024-03-03,,,2024-03-03 10:00:00
63,63,63,POL100063,WORKCOMP,CANCELLED,2023-03-05,2024-03-04,2023-09-01,Non-payment,2024-03-04 10:00:00
64,64,64,POL100064,AUTO,ACTIVE,2023-03-06,2024-03-05,,,2024-03-05 10:00:00
65,65,65,POL100065,HOME,EXPIRED,2023-03-07,2024-03-06,,,2024-03-06 10:00:00
66,66,66,POL100066,COMM,CANCELLED,2023-03-08,2024-03-07,2023-09-04,Underwriting Decision,2024-03-07 10:00:00
67,67,67,POL100067,FIRE,ACTIVE,2023-03-09,2024-03-08,,,2024-03-08 10:00:00
68,68,68,POL100068,MARINE,EXPIRED,2023-03-10,2024-03-09,,,2024-03-09 10:00:00
69,69,69,POL100069,LIABILITY,CANCELLED,2023-03-11,2024-03-10,2023-09-07,Underwriting Decision,2024-03-10 10:00:00
70,70,70,POL100070,WORKCOMP,ACTIVE,2023-03-12,2024-03-11,,,2024-03-11 10:00:00
71,71,71,POL100071,AUTO,EXPIRED,2023-03-13,2024-03-12,,,2024-03-12 10:00:00
72,72,72,POL100072,HOME,CANCELLED,2023-03-14,2024-03-13,2023-09-10,Non-payment,2024-03-13 10:00:00
73,73,73,POL100073,COMM,ACTIVE,2023-03-15,2024-03-14,,,2024-03-14 10:00:00
74,74,74,POL100074,FIRE,EXPIRED,2023-03-16,2024-03-15,,,2024-03-15 10:00:00
75,75,75,POL100075,MARINE,CANCELLED,2023-03-17,2024-03-16,2023-09-13,Underwriting Decision,2024-03-16 10:00:00
76,76,76,POL100076,LIABILITY,ACTIVE,2023-03-18,2024-03-17,,,2024-03-17 10:00:00
77,77,77,POL100077,WORKCOMP,EXPIRED,2023-03-19,2024-03-18,,,2024-03-18 10:00:00
78,78,78,POL100078,AUTO,CANCELLED,2023-03-20,2024-03-19,2023-09-16,Non-payment,2024-03-19 10:00:00
79,79,79,POL100079,HOME,ACTIVE,2023-03-21,2024-03-20,,,2024-03-20 10:00:00
80,80,80,POL100080,COMM,EXPIRED,2023-03-22,2024-03-21,,,2024-03-21 10:00:00
81,81,81,POL100081,FIRE,CANCELLED,2023-03-23,2024-03-22,2023-09-19,Underwriting Decision,2024-03-22 10:00:00
82,82,82,POL100082,MARINE,ACTIVE,2023-03-24,2024-03-23,,,2024-03-23 10:00:00
83,83,83,POL100083,LIABILITY,EXPIRED,2023-03-25,2024-03-24,,,2024-03-24 10:00:00
84,84,84,POL100084,WORKCOMP,CANCELLED,2023-03-26,2024-03-25,2023-09-22,Underwriting Decision,2024-03-25 10:00:00
85,85,85,POL100085,AUTO,ACTIVE,2023-03-27,2024-03-26,,,2024-03-26 10:00:00
86,86,86,POL100086,HOME,EXPIRED,2023-03-28,2024-03-27,,,2024-03-27 10:00:00
87,87,87,POL100087,COMM,CANCELLED,2023-03-29,2024-03-28,2023-09-25,Underwriting Decision,2024-03-28 10:00:00
88,88,88,POL100088,FIRE,ACTIVE,2023-03-30,2024-03-29,,,2024-03-29 10:00:00
89,89,89,POL100089,MARINE,EXPIRED,2023-03-31,2024-03-30,,,2024-03-30 10:00:00
90,90,90,POL100090,LIABILITY,CANCELLED,2023-04-01,2024-03-31,2023-09-28,Underwriting Decision,2024-03-31 10:00:00
91,91,91,POL100091,WORKCOMP,ACTIVE,2023-04-02,2024-04-01,,,2024-04-01 10:00:00
92,92,92,POL100092,AUTO,EXPIRED,2023-04-03,2024-04-02,,,2024-04-02 10:00:00
93,93,93,POL100093,HOME,CANCELLED,2023-04-04,2024-04-03,2023-10-01,Customer Request,2024-04-03 10:00:00
94,94,94,POL100094,COMM,ACTIVE,2023-04-05,2024-04-04,,,2024-04-04 10:00:00
95,95,95,POL100095,FIRE,EXPIRED,2023-04-06,2024-04-05,,,2024-04-05 10:00:00
96,96,96,POL100096,MARINE,CANCELLED,2023-04-07,2024-04-06,2023-10-04,Non-payment,2024-04-06 10:00:00
97,97,97,POL100097,LIABILITY,ACTIVE,2023-04-08,2024-04-07,,,2024-04-07 10:00:00
98,98,98,POL100098,WORKCOMP,EXPIRED,2023-04-09,2024-04-08,,,2024-04-08 10:00:00
99,99,99,POL100099,AUTO,CANCELLED,2023-04-10,2024-04-09,2023-10-07,Customer Request,2024-04-09 10:00:00
100,100,100,POL100100,HOME,ACTIVE,2023-04-11,2024-04-10,,,2024-04-10 10:00:00
101,101,101,POL100101,COMM,EXPIRED,2023-04-12,2024-04-11,,,2024-04-11 10:00:00
102,102,102,POL100102,FIRE,CANCELLED,2023-04-13,2024-04-12,2023-10-10,Underwriting Decision,2024-04-12 10:00:00
103,103,103,POL100103,MARINE,ACTIVE,2023-04-14,2024-04-13,,,2024-04-13 10:00:00
104,104,104,POL100104,LIABILITY,EXPIRED,2023-04-15,2024-04-14,,,2024-04-14 10:00:00
105,105,105,POL100105,WORKCOMP,CANCELLED,2023-04-16,2024-04-15,2023-10-13,Customer Request,2024-04-15 10:00:00
106,106,106,POL100106,AUTO,ACTIVE,2023-04-17,2024-04-16,,,2024-04-16 10:00:00
107,107,107,POL100107,HOME,EXPIRED,2023-04-18,2024-04-17,,,2024-04-17 10:00:00
108,108,108,POL100108,COMM,CANCELLED,2023-04-19,2024-04-18,2023-10-16,Non-payment,2024-04-18 10:00:00
109,109,109,POL100109,FIRE,ACTIVE,2023-04-20,2024-04-19,,,2024-04-19 10:00:00
110,110,110,POL100110,MARINE,EXPIRED,2023-04-21,2024-04-20,,,2024-04-20 10:00:00
111,111,111,POL100111,LIABILITY,CANCELLED,2023-04-22,2024-04-21,2023-10-19,Non-payment,2024-04-21 10:00:00
112,112,112,POL100112,WORKCOMP,ACTIVE,2023-04-23,2024-04-22,,,2024-04-22 10:00:00
113,113,113,POL100113,AUTO,EXPIRED,2023-04-24,2024-04-23,,,2024-04-23 10:00:00
114,114,114,POL100114,HOME,CANCELLED,2023-04-25,2024-04-24,2023-10-22,Underwriting Decision,2024-04-24 10:00:00
115,115,115,POL100115,COMM,ACTIVE,2023-04-26,2024-04-25,,,2024-04-25 10:00:00
116,116,116,POL100116,FIRE,EXPIRED,2023-04-27,2024-04-26,,,2024-04-26 10:00:00
117,117,117,POL100117,MARINE,CANCELLED,2023-04-28,2024-04-27,2023-10-25,Customer Request,2024-04-27 10:00:00
118,118,118,POL100118,LIABILITY,ACTIVE,2023-04-29,2024-04-28,,,2024-04-28 10:00:00
119,119,119,POL100119,WORKCOMP,EXPIRED,2023-04-30,2024-04-29,,,2024-04-29 10:00:00
120,120,120,POL100120,AUTO,CANCELLED,2023-05-01,2024-04-30,2023-10-28,Customer Request,2024-04-30 10:00:00
121,121,121,POL100121,HOME,ACTIVE,2023-05-02,2024-05-01,,,2024-05-01 10:00:00
122,122,122,POL100122,COMM,EXPIRED,2023-05-03,2024-05-02,,,2024-05-02 10:00:00
123,123,123,POL100123,FIRE,CANCELLED,2023-05-04,2024-05-03,2023-10-31,Customer Request,2024-05-03 10:00:00
124,124,124,POL100124,MARINE,ACTIVE,2023-05-05,2024-05-04,,,2024-05-04 10:00:00
125,125,125,POL100125,LIABILITY,EXPIRED,2023-05-06,2024-05-05,,,2024-05-05 10:00:00
126,126,126,POL100126,WORKCOMP,CANCELLED,2023-05-07,2024-05-06,2023-11-03,Non-payment,2024-05-06 10:00:00
127,127,127,POL100127,AUTO,ACTIVE,2023-05-08,2024-05-07,,,2024-05-07 10:00:00
128,128,128,POL100128,HOME,EXPIRED,2023-05-09,2024-05-08,,,2024-05-08 10:00:00
129,129,129,POL100129,COMM,CANCELLED,2023-05-10,2024-05-09,2023-11-06,Non-payment,2024-05-09 10:00:00
130,130,130,POL100130,FIRE,ACTIVE,2023-05-11,2024-05-10,,,2024-05-10 10:00:00
131,131,131,POL100131,MARINE,EXPIRED,2023-05-12,2024-05-11,,,2024-05-11 10:00:00
132,132,132,POL100132,LIABILITY,CANCELLED,2023-05-13,2024-05-12,2023-11-09,Customer Request,2024-05-12 10:00:00
133,133,133,POL100133,WORKCOMP,ACTIVE,2023-05-14,2024-05-13,,,2024-05-13 10:00:00
134,134,134,POL100134,AUTO,EXPIRED,2023-05-15,2024-05-14,,,2024-05-14 10:00:00
135,135,135,POL100135,HOME,CANCELLED,2023-05-16,2024-05-15,2023-11-12,Non-payment,2024-05-15 10:00:00
136,136,136,POL100136,COMM,ACTIVE,2023-05-17,2024-05-16,,,2024-05-16 10:00:00
137,137,137,POL100137,FIRE,EXPIRED,2023-05-18,2024-05-17,,,2024-05-17 10:00:00
138,138,138,POL100138,MARINE,CANCELLED,2023-05-19,2024-05-18,2023-11-15,Non-payment,2024-05-18 10:00:00
139,139,139,POL100139,LIABILITY,ACTIVE,2023-05-20,2024-05-19,,,2024-05-19 10:00:00
140,140,140,POL100140,WORKCOMP,EXPIRED,2023-05-21,2024-05-20,,,2024-05-20 10:00:00
141,141,141,POL100141,AUTO,CANCELLED,2023-05-22,2024-05-21,2023-11-18,Customer Request,2024-05-21 10:00:00
142,142,142,POL100142,HOME,ACTIVE,2023-05-23,2024-05-22,,,2024-05-22 10:00:00
143,143,143,POL100143,COMM,EXPIRED,2023-05-24,2024-05-23,,,2024-05-23 10:00:00
144,144,144,POL100144,FIRE,CANCELLED,2023-05-25,2024-05-24,2023-11-21,Non-payment,2024-05-24 10:00:00
145,145,145,POL100145,MARINE,ACTIVE,2023-05-26,2024-05-25,,,2024-05-25 10:00:00
146,146,146,POL100146,LIABILITY,EXPIRED,2023-05-27,2024-05-26,,,2024-05-26 10:00:00
147,147,147,POL100147,WORKCOMP,CANCELLED,2023-05-28,2024-05-27,2023-11-24,Customer Request,2024-05-27 10:00:00
148,148,148,POL100148,AUTO,ACTIVE,2023-05-29,2024-05-28,,,2024-05-28 10:00:00
149,149,149,POL100149,HOME,EXPIRED,2023-05-30,2024-05-29,,,2024-05-29 10:00:00
150,150,150,POL100150,COMM,CANCELLED,2023-05-31,2024-05-30,2023-11-27,Customer Request,2024-05-30 10:00:00
151,151,151,POL100151,FIRE,ACTIVE,2023-06-01,2024-05-31,,,2024-05-31 10:00:00
152,152,152,POL100152,MARINE,EXPIRED,2023-06-02,2024-06-01,,,2024-06-01 10:00:00
153,153,153,POL100153,LIABILITY,CANCELLED,2023-06-03,2024-06-02,2023-11-30,Underwriting Decision,2024-06-02 10:00:00
154,154,154,POL100154,WORKCOMP,ACTIVE,2023-06-04,2024-06-03,,,2024-06-03 10:00:00
155,155,155,POL100155,AUTO,EXPIRED,2023-06-05,2024-06-04,,,2024-06-04 10:00:00
156,156,156,POL100156,HOME,CANCELLED,2023-06-06,2024-06-05,2023-12-03,Customer Request,2024-06-05 10:00:00
157,157,157,POL100157,COMM,ACTIVE,2023-06-07,2024-06-06,,,2024-06-06 10:00:00
158,158,158,POL100158,FIRE,EXPIRED,2023-06-08,2024-06-07,,,2024-06-07 10:00:00
159,159,159,POL100159,MARINE,CANCELLED,2023-06-09,2024-06-08,2023-12-06,Non-payment,2024-06-08 10:00:00
160,160,160,POL100160,LIABILITY,ACTIVE,2023-06-10,2024-06-09,,,2024-06-09 10:00:00
161,161,161,POL100161,WORKCOMP,EXPIRED,2023-06-11,2024-06-10,,,2024-06-10 10:00:00
162,162,162,POL100162,AUTO,CANCELLED,2023-06-12,2024-06-11,2023-12-09,Underwriting Decision,2024-06-11 10:00:00
163,163,163,POL100163,HOME,ACTIVE,2023-06-13,2024-06-12,,,2024-06-12 10:00:00
164,164,164,POL100164,COMM,EXPIRED,2023-06-14,2024-06-13,,,2024-06-13 10:00:00
165,165,165,POL100165,FIRE,CANCELLED,2023-06-15,2024-06-14,2023-12-12,Customer Request,2024-06-14 10:00:00
166,166,166,POL100166,MARINE,ACTIVE,2023-06-16,2024-06-15,,,2024-06-15 10:00:00
167,167,167,POL100167,LIABILITY,EXPIRED,2023-06-17,2024-06-16,,,2024-06-16 10:00:00
168,168,168,POL100168,WORKCOMP,CANCELLED,2023-06-18,2024-06-17,2023-12-15,Underwriting Decision,2024-06-17 10:00:00
169,169,169,POL100169,AUTO,ACTIVE,2023-06-19,2024-06-18,,,2024-06-18 10:00:00
170,170,170,POL100170,HOME,EXPIRED,2023-06-20,2024-06-19,,,2024-06-19 10:00:00
171,171,171,POL100171,COMM,CANCELLED,2023-06-21,2024-06-20,2023-12-18,Non-payment,2024-06-20 10:00:00
172,172,172,POL100172,FIRE,ACTIVE,2023-06-22,2024-06-21,,,2024-06-21 10:00:00
173,173,173,POL100173,MARINE,EXPIRED,2023-06-23,2024-06-22,,,2024-06-22 10:00:00
174,174,174,POL100174,LIABILITY,CANCELLED,2023-06-24,2024-06-23,2023-12-21,Customer Request,2024-06-23 10:00:00
175,175,175,POL100175,WORKCOMP,ACTIVE,2023-06-25,2024-06-24,,,2024-06-24 10:00:00
176,176,176,POL100176,AUTO,EXPIRED,2023-06-26,2024-06-25,,,2024-06-25 10:00:00
177,177,177,POL100177,HOME,CANCELLED,2023-06-27,2024-06-26,2023-12-24,Non-payment,2024-06-26 10:00:00
178,178,178,POL100178,COMM,ACTIVE,2023-06-28,2024-06-27,,,2024-06-27 10:00:00
179,179,179,POL100179,FIRE,EXPIRED,2023-06-29,2024-06-28,,,2024-06-28 10:00:00
180,180,180,POL100180,MARINE,CANCELLED,2023-06-30,2024-06-29,2023-12-27,Underwriting Decision,2024-06-29 10:00:00
181,181,181,POL100181,LIABILITY,ACTIVE,2023-07-01,2024-06-30,,,2024-06-30 10:00:00
182,182,182,POL100182,WORKCOMP,EXPIRED,2023-07-02,2024-07-01,,,2024-07-01 10:00:00
183,183,183,POL100183,AUTO,CANCELLED,2023-07-03,2024-07-02,2023-12-30,Customer Request,2024-07-02 10:00:00
184,184,184,POL100184,HOME,ACTIVE,2023-07-04,2024-07-03,,,2024-07-03 10:00:00
185,185,185,POL100185,COMM,EXPIRED,2023-07-05,2024-07-04,,,2024-07-04 10:00:00
186,186,186,POL100186,FIRE,CANCELLED,2023-07-06,2024-07-05,2024-01-02,Underwriting Decision,2024-07-05 10:00:00
187,187,187,POL100187,MARINE,ACTIVE,2023-07-07,2024-07-06,,,2024-07-06 10:00:00
188,188,188,POL100188,LIABILITY,EXPIRED,2023-07-08,2024-07-07,,,2024-07-07 10:00:00
189,189,189,POL100189,WORKCOMP,CANCELLED,2023-07-09,2024-07-08,2024-01-05,Underwriting Decision,2024-07-08 10:00:00
190,190,190,POL100190,AUTO,ACTIVE,2023-07-10,2024-07-09,,,2024-07-09 10:00:00
191,191,191,POL100191,HOME,EXPIRED,2023-07-11,2024-07-10,,,2024-07-10 10:00:00
192,192,192,POL100192,COMM,CANCELLED,2023-07-12,2024-07-11,2024-01-08,Customer Request,2024-07-11 10:00:00
193,193,193,POL100193,FIRE,ACTIVE,2023-07-13,2024-07-12,,,2024-07-12 10:00:00
194,194,194,POL100194,MARINE,EXPIRED,2023-07-14,2024-07-13,,,2024-07-13 10:00:00
195,195,195,POL100195,LIABILITY,CANCELLED,2023-07-15,2024-07-14,2024-01-11,Underwriting Decision,2024-07-14 10:00:00
196,196,196,POL100196,WORKCOMP,ACTIVE,2023-07-16,2024-07-15,,,2024-07-15 10:00:00
197,197,197,POL100197,AUTO,EXPIRED,2023-07-17,2024-07-16,,,2024-07-16 10:00:00
198,198,198,POL100198,HOME,CANCELLED,2023-07-18,2024-07-17,2024-01-14,Non-payment,2024-07-17 10:00:00
199,199,199,POL100199,COMM,ACTIVE,2023-07-19,2024-07-18,,,2024-07-18 10:00:00
200,200,200,POL100200,FIRE,EXPIRED,2023-07-20,2024-07-19,,,2024-07-19 10:00:00
201,201,201,POL100201,MARINE,CANCELLED,2023-07-21,2024-07-20,2024-01-17,Underwriting Decision,2024-07-20 10:00:00
202,202,202,POL100202,LIABILITY,ACTIVE,2023-07-22,2024-07-21,,,2024-07-21 10:00:00
203,203,203,POL100203,WORKCOMP,EXPIRED,2023-07-23,2024-07-22,,,2024-07-22 10:00:00
204,204,204,POL100204,AUTO,CANCELLED,2023-07-24,2024-07-23,2024-01-20,Non-payment,2024-07-23 10:00:00
205,205,205,POL100205,HOME,ACTIVE,2023-07-25,2024-07-24,,,2024-07-24 10:00:00
206,206,206,POL100206,COMM,EXPIRED,2023-07-26,2024-07-25,,,2024-07-25 10:00:00
207,207,207,POL100207,FIRE,CANCELLED,2023-07-27,2024-07-26,2024-01-23,Non-payment,2024-07-26 10:00:00
208,208,208,POL100208,MARINE,ACTIVE,2023-07-28,2024-07-27,,,2024-07-27 10:00:00
209,209,209,POL100209,LIABILITY,EXPIRED,2023-07-29,2024-07-28,,,2024-07-28 10:00:00
210,210,210,POL100210,WORKCOMP,CANCELLED,2023-07-30,2024-07-29,2024-01-26,Underwriting Decision,2024-07-29 10:00:00
211,211,211,POL100211,AUTO,ACTIVE,2023-07-31,2024-07-30,,,2024-07-30 10:00:00
212,212,212,POL100212,HOME,EXPIRED,2023-08-01,2024-07-31,,,2024-07-31 10:00:00
213,213,213,POL100213,COMM,CANCELLED,2023-08-02,2024-08-01,2024-01-29,Non-payment,2024-08-01 10:00:00
214,214,214,POL100214,FIRE,ACTIVE,2023-08-03,2024-08-02,,,2024-08-02 10:00:00
215,215,215,POL100215,MARINE,EXPIRED,2023-08-04,2024-08-03,,,2024-08-03 10:00:00
216,216,216,POL100216,LIABILITY,CANCELLED,2023-08-05,2024-08-04,2024-02-01,Customer Request,2024-08-04 10:00:00
217,217,217,POL100217,WORKCOMP,ACTIVE,2023-08-06,2024-08-05,,,2024-08-05 10:00:00
218,218,218,POL100218,AUTO,EXPIRED,2023-08-07,2024-08-06,,,2024-08-06 10:00:00
219,219,219,POL100219,HOME,CANCELLED,2023-08-08,2024-08-07,2024-02-04,Non-payment,2024-08-07 10:00:00
220,220,220,POL100220,COMM,ACTIVE,2023-08-09,2024-08-08,,,2024-08-08 10:00:00
221,221,221,POL100221,FIRE,EXPIRED,2023-08-10,2024-08-09,,,2024-08-09 10:00:00
222,222,222,POL100222,MARINE,CANCELLED,2023-08-11,2024-08-10,2024-02-07,Non-payment,2024-08-10 10:00:00
223,223,223,POL100223,LIABILITY,ACTIVE,2023-08-12,2024-08-11,,,2024-08-11 10:00:00
224,224,224,POL100224,WORKCOMP,EXPIRED,2023-08-13,2024-08-12,,,2024-08-12 10:00:00
225,225,225,POL100225,AUTO,CANCELLED,2023-08-14,2024-08-13,2024-02-10,Non-payment,2024-08-13 10:00:00
226,226,226,POL100226,HOME,ACTIVE,2023-08-15,2024-08-14,,,2024-08-14 10:00:00
227,227,227,POL100227,COMM,EXPIRED,2023-08-16,2024-08-15,,,2024-08-15 10:00:00
228,228,228,POL100228,FIRE,CANCELLED,2023-08-17,2024-08-16,2024-02-13,Customer Request,2024-08-16 10:00:00
229,229,229,POL100229,MARINE,ACTIVE,2023-08-18,2024-08-17,,,2024-08-17 10:00:00
230,230,230,POL100230,LIABILITY,EXPIRED,2023-08-19,2024-08-18,,,2024-08-18 10:00:00
231,231,231,POL100231,WORKCOMP,CANCELLED,2023-08-20,2024-08-19,2024-02-16,Customer Request,2024-08-19 10:00:00
232,232,232,POL100232,AUTO,ACTIVE,2023-08-21,2024-08-20,,,2024-08-20 10:00:00
233,233,233,POL100233,HOME,EXPIRED,2023-08-22,2024-08-21,,,2024-08-21 10:00:00
234,234,234,POL100234,COMM,CANCELLED,2023-08-23,2024-08-22,2024-02-19,Customer Request,2024-08-22 10:00:00
235,235,235,POL100235,FIRE,ACTIVE,2023-08-24,2024-08-23,,,2024-08-23 10:00:00
236,236,236,POL100236,MARINE,EXPIRED,2023-08-25,2024-08-24,,,2024-08-24 10:00:00
237,237,237,POL100237,LIABILITY,CANCELLED,2023-08-26,2024-08-25,2024-02-22,Underwriting Decision,2024-08-25 10:00:00
238,238,238,POL100238,WORKCOMP,ACTIVE,2023-08-27,2024-08-26,,,2024-08-26 10:00:00
239,239,239,POL100239,AUTO,EXPIRED,2023-08-28,2024-08-27,,,2024-08-27 10:00:00
240,240,240,POL100240,HOME,CANCELLED,2023-08-29,2024-08-28,2024-02-25,Customer Request,2024-08-28 10:00:00
241,241,241,POL100241,COMM,ACTIVE,2023-08-30,2024-08-29,,,2024-08-29 10:00:00
242,242,242,POL100242,FIRE,EXPIRED,2023-08-31,2024-08-30,,,2024-08-30 10:00:00
243,243,243,POL100243,MARINE,CANCELLED,2023-09-01,2024-08-31,2024-02-28,Non-payment,2024-08-31 10:00:00
244,244,244,POL100244,LIABILITY,ACTIVE,2023-09-02,2024-09-01,,,2024-09-01 10:00:00
245,245,245,POL100245,WORKCOMP,EXPIRED,2023-09-03,2024-09-02,,,2024-09-02 10:00:00
