location_id,policy_period_id,location_number,address_line1,address_line2,city,state_code,zip_code,country_code,occupancy_type,building_value,contents_value
82,82,LOC000082,182 Main Street,,Bengaluru,KA,600083,US,TENANT_OCCUPIED,4964364.78,4531829.06
83,83,LOC000083,183 Main Street,,Mumbai,MH,600084,IN,VACANT,17262890.3,400743.88
84,84,LOC000084,184 Main Street,Suite 35,Hyderabad,TS,600085,US,UNDER_CONSTRUCTION,5141090.37,3361440.0
85,85,LOC000085,185 Main Street,,Vijayawada,AP,600086,IN,OWNER_OCCUPIED,4677617.74,704943.65
86,86,LOC000086,186 Main Street,,Kochi,KL,600087,US,TENANT_OCCUPIED,18742527.69,2876663.31
87,87,LOC000087,187 Main Street,Suite 38,Delhi,DL,600088,IN,VACANT,9717085.01,3933866.15
88,88,LOC000088,188 Main Street,,Ahmedabad,GJ,600089,US,UNDER_CONSTRUCTION,16246191.46,992529.08
89,89,LOC000089,189 Main Street,,Jaipur,RJ,600090,IN,OWNER_OCCUPIED,2390150.88,2183703.35
90,90,LOC000090,190 Main Street,Suite 41,Kolkata,WB,600091,US,TENANT_OCCUPIED,8759783.15,2361772.11
91,91,LOC000091,191 Main Street,,Chennai,TN,600092,IN,VACANT,14716979.06,3383154.51
92,92,LOC000092,192 Main Street,,Bengaluru,KA,600093,US,UNDER_CONSTRUCTION,19691221.62,537168.46
93,93,LOC000093,193 Main Street,Suite 44,Mumbai,MH,600094,IN,OWNER_OCCUPIED,8351115.0,1729547.9
94,94,LOC000094,194 Main Street,,Hyderabad,TS,600095,US,TENANT_OCCUPIED,17302614.46,1280848.85
95,95,LOC000095,195 Main Street,,Vijayawada,AP,600096,IN,VACANT,4209073.71,2270637.06
96,96,LOC000096,196 Main Street,Suite 47,Kochi,KL,600097,US,UNDER_CONSTRUCTION,8726691.98,1428798.47
97,97,LOC000097,197 Main Street,,Delhi,DL,600098,IN,OWNER_OCCUPIED,5371225.73,4620164.72
98,98,LOC000098,198 Main Street,,Ahmedabad,GJ,600099,US,TENANT_OCCUPIED,9141049.53,4313678.07
99,99,LOC000099,199 Main Street,Suite 50,Jaipur,RJ,600100,IN,VACANT,11231343.59,300412.23
100,100,LOC000100,200 Main Street,,Kolkata,WB,600101,US,UNDER_CONSTRUCTION,19986008.13,4188336.55
101,101,LOC000101,201 Main Street,,Chennai,TN,600102,IN,OWNER_OCCUPIED,19395427.02,4635516.57
102,102,LOC000102,202 Main Street,Suite 3,Bengaluru,KA,600103,US,TENANT_OCCUPIED,17049566.82,873240.0
103,103,LOC000103,203 Main Street,,Mumbai,MH,600104,IN,VACANT,9970001.95,1108049.13
104,104,LOC000104,204 Main Street,,Hyderabad,TS,600105,US,UNDER_CONSTRUCTION,8320285.7,340245.23
105,105,LOC000105,205 Main Street,Suite 6,Vijayawada,AP,600106,IN,OWNER_OCCUPIED,7889975.82,4927278.78
106,106,LOC000106,206 Main Street,,Kochi,KL,600107,US,TENANT_OCCUPIED,5671459.63,3931149.48
107,107,LOC000107,207 Main Street,,Delhi,DL,600108,IN,VACANT,9372663.16,2143887.06
108,108,LOC000108,208 Main Street,Suite 9,Ahmedabad,GJ,600109,US,UNDER_CONSTRUCTION,19167694.0,4977342.31
109,109,LOC000109,209 Main Street,,Jaipur,RJ,600110,IN,OWNER_OCCUPIED,11337482.31,3606120.96
110,110,LOC000110,210 Main Street,,Kolkata,WB,600111,US,TENANT_OCCUPIED,3518538.09,1518703.74
111,111,LOC000111,211 Main Street,Suite 12,Chennai,TN,600112,IN,VACANT,19389832.62,2916942.44
112,112,LOC000112,212 Main Street,,Bengaluru,KA,600113,US,UNDER_CONSTRUCTION,11072806.43,3752479.02
113,113,LOC000113,213 Main Street,,Mumbai,MH,600114,IN,OWNER_OCCUPIED,1614722.82,2941679.09
114,114,LOC000114,214 Main Street,Suite 15,Hyderabad,TS,600115,US,TENANT_OCCUPIED,10305582.47,4270963.47
115,115,LOC000115,215 Main Street,,Vijayawada,AP,600116,IN,VACANT,3569938.19,4805855.57
116,116,LOC000116,216 Main Street,,Kochi,KL,600117,US,UNDER_CONSTRUCTION,2062173.57,969833.56
117,117,LOC000117,217 Main Street,Suite 18,Delhi,DL,600118,IN,OWNER_OCCUPIED,12103184.58,3392302.14
118,118,LOC000118,218 Main Street,,Ahmedabad,GJ,600119,US,TENANT_OCCUPIED,5086475.95,643438.74
119,119,LOC000119,219 Main Street,,Jaipur,RJ,600120,IN,VACANT,17860602.63,1268765.97
120,120,LOC000120,220 Main Street,Suite 21,Kolkata,WB,600121,US,UNDER_CONSTRUCTION,12093123.49,3115938.48
121,121,LOC000121,221 Main Street,,Chennai,TN,600122,IN,OWNER_OCCUPIED,8674885.85,2939177.83
122,122,LOC000122,222 Main Street,,Bengaluru,KA,600123,US,TENANT_OCCUPIED,10694262.95,4676795.98
123,123,LOC000123,223 Main Street,Suite 24,Mumbai,MH,600124,IN,VACANT,4483054.39,3595149.41
124,124,LOC000124,224 Main Street,,Hyderabad,TS,600125,US,UNDER_CONSTRUCTION,5154376.08,2009139.94
125,125,LOC000125,225 Main Street,,Vijayawada,AP,600126,IN,OWNER_OCCUPIED,13597959.35,1534985.55
126,126,LOC000126,226 Main Street,Suite 27,Kochi,KL,600127,US,TENANT_OCCUPIED,6665455.33,3771729.24
127,127,LOC000127,227 Main Street,,Delhi,DL,600128,IN,VACANT,1914590.73,2318513.34
128,128,LOC000128,228 Main Street,,Ahmedabad,GJ,600129,US,UNDER_CONSTRUCTION,19969861.6,4980677.42
129,129,LOC000129,229 Main Street,Suite 30,Jaipur,RJ,600130,IN,OWNER_OCCUPIED,1928584.06,1105113.85
130,130,LOC000130,230 Main Street,,Kolkata,WB,600131,US,TENANT_OCCUPIED,5671408.09,4669633.92
131,131,LOC000131,231 Main Street,,Chennai,TN,600132,IN,VACANT,17676851.39,4402387.7
132,132,LOC000132,232 Main Street,Suite 33,Bengaluru,KA,600133,US,UNDER_CONSTRUCTION,7705778.23,830846.82
133,133,LOC000133,233 Main Street,,Mumbai,MH,600134,IN,OWNER_OCCUPIED,16758026.62,3532522.63
134,134,LOC000134,234 Main Street,,Hyderabad,TS,600135,US,TENANT_OCCUPIED,12427716.43,4936803.66
135,135,LOC000135,235 Main Street,Suite 36,Vijayawada,AP,600136,IN,VACANT,13252538.2,88724.38
136,136,LOC000136,236 Main Street,,Kochi,KL,600137,US,UNDER_CONSTRUCTION,16433530.63,1531924.82
137,137,LOC000137,237 Main Street,,Delhi,DL,600138,IN,OWNER_OCCUPIED,13436079.94,4697703.52
138,138,LOC000138,238 Main Street,Suite 39,Ahmedabad,GJ,600139,US,TENANT_OCCUPIED,3118676.73,621371.92
139,139,LOC000139,239 Main Street,,Jaipur,RJ,600140,IN,VACANT,2587201.57,2788457.02
140,140,LOC000140,240 Main Street,,Kolkata,WB,600141,US,UNDER_CONSTRUCTION,5810790.14,3043907.64
141,141,LOC000141,241 Main Street,Suite 42,Chennai,TN,600142,IN,OWNER_OCCUPIED,14493437.65,1057806.7
142,142,LOC000142,242 Main Street,,Bengaluru,KA,600143,US,TENANT_OCCUPIED,12867640.2,1356720.31
143,143,LOC000143,243 Main Street,,Mumbai,MH,600144,IN,VACANT,10026371.12,4531415.63
144,144,LOC000144,244 Main Street,Suite 45,Hyderabad,TS,600145,US,UNDER_CONSTRUCTION,16999022.41,506877.42
145,145,LOC000145,245 Main Street,,Vijayawada,AP,600146,IN,OWNER_OCCUPIED,8759727.56,1419567.11
146,146,LOC000146,246 Main Street,,Kochi,KL,600147,US,TENANT_OCCUPIED,569140.94,3867040.15
147,147,LOC000147,247 Main Street,Suite 48,Delhi,DL,600148,IN,VACANT,12923710.86,1346678.55
148,148,LOC000148,248 Main Street,,Ahmedabad,GJ,600149,US,UNDER_CONSTRUCTION,14954002.71,2780818.08
149,149,LOC000149,249 Main Street,,Jaipur,RJ,600150,IN,OWNER_OCCUPIED,8839894.92,97865.01
150,150,LOC000150,250 Main Street,Suite 1,Kolkata,WB,600151,US,TENANT_OCCUPIED,1967255.27,4421376.65
151,151,LOC000151,251 Main Street,,Chennai,TN,600152,IN,VACANT,18126607.15,2750671.93
152,152,LOC000152,252 Main Street,,Bengaluru,KA,600153,US,UNDER_CONSTRUCTION,16774602.89,2933422.35
153,153,LOC000153,253 Main Street,Suite 4,Mumbai,MH,600154,IN,OWNER_OCCUPIED,3387828.82,680855.32
154,154,LOC000154,254 Main Street,,Hyderabad,TS,600155,US,TENANT_OCCUPIED,6511037.82,4499958.37
155,155,LOC000155,255 Main Street,,Vijayawada,AP,600156,IN,VACANT,16024384.95,4310477.78
156,156,LOC000156,256 Main Street,Suite 7,Kochi,KL,600157,US,UNDER_CONSTRUCTION,18029030.41,1089878.86
157,157,LOC000157,257 Main Street,,Delhi,DL,600158,IN,OWNER_OCCUPIED,5365829.91,558828.43
158,158,LOC000158,258 Main Street,,Ahmedabad,GJ,600159,US,TENANT_OCCUPIED,15712266.72,4426466.77
159,159,LOC000159,259 Main Street,Suite 10,Jaipur,RJ,600160,IN,VACANT,8424359.1,3122274.48
160,160,LOC000160,260 Main Street,,Kolkata,WB,600161,US,UNDER_CONSTRUCTION,3513790.1,4652911.03
161,161,LOC000161,261 Main Street,,Chennai,TN,600162,IN,OWNER_OCCUPIED,17359811.08,4882219.86
162,162,LOC000162,262 Main Street,Suite 13,Bengaluru,KA,600163,US,TENANT_OCCUPIED,16310048.54,4413010.21
163,163,LOC000163,263 Main Street,,Mumbai,MH,600164,IN,VACANT,983334.06,3695994.14
164,164,LOC000164,264 Main Street,,Hyderabad,TS,600165,US,UNDER_CONSTRUCTION,6977616.62,4657538.64
165,165,LOC000165,265 Main Street,Suite 16,Vijayawada,AP,600166,IN,OWNER_OCCUPIED,16143585.21,4327116.94
166,166,LOC000166,266 Main Street,,Kochi,KL,600167,US,TENANT_OCCUPIED,16309611.67,1370688.26
167,167,LOC000167,267 Main Street,,Delhi,DL,600168,IN,VACANT,15853802.93,585073.35
168,168,LOC000168,268 Main Street,Suite 19,Ahmedabad,GJ,600169,US,UNDER_CONSTRUCTION,17507252.27,4300036.59
169,169,LOC000169,269 Main Street,,Jaipur,RJ,600170,IN,OWNER_OCCUPIED,4837457.49,4092103.7
170,170,LOC000170,270 Main Street,,Kolkata,WB,600171,US,TENANT_OCCUPIED,9475913.08,1560694.79
171,171,LOC000171,271 Main Street,Suite 22,Chennai,TN,600172,IN,VACANT,16009237.23,1176597.66
172,172,LOC000172,272 Main Street,,Bengaluru,KA,600173,US,UNDER_CONSTRUCTION,961456.48,1005992.45
173,173,LOC000173,273 Main Street,,Mumbai,MH,600174,IN,OWNER_OCCUPIED,6901108.05,4328547.06
174,174,LOC000174,274 Main Street,Suite 25,Hyderabad,TS,600175,US,TENANT_OCCUPIED,19354337.53,1431668.71
175,175,LOC000175,275 Main Street,,Vijayawada,AP,600176,IN,VACANT,13008893.9,2028408.0
176,176,LOC000176,276 Main Street,,Kochi,KL,600177,US,UNDER_CONSTRUCTION,19632418.9,2704267.88
177,177,LOC000177,277 Main Street,Suite 28,Delhi,DL,600178,IN,OWNER_OCCUPIED,18815124.24,620941.67
178,178,LOC000178,278 Main Street,,Ahmedabad,GJ,600179,US,TENANT_OCCUPIED,19422811.91,933910.69
179,179,LOC000179,279 Main Street,,Jaipur,RJ,600180,IN,VACANT,19269419.16,1364058.49
180,180,LOC000180,280 Main Street,Suite 31,Kolkata,WB,600181,US,UNDER_CONSTRUCTION,2613849.67,2201090.6
181,181,LOC000181,281 Main Street,,Chennai,TN,600182,IN,OWNER_OCCUPIED,14706628.68,1602702.71
182,182,LOC000182,282 Main Street,,Bengaluru,KA,600183,US,TENANT_OCCUPIED,12321072.64,2581544.15
183,183,LOC000183,283 Main Street,Suite 34,Mumbai,MH,600184,IN,VACANT,8011310.95,2904110.82
184,184,LOC000184,284 Main Street,,Hyderabad,TS,600185,US,UNDER_CONSTRUCTION,5467088.87,3558487.15
185,185,LOC000185,285 Main Street,,Vijayawada,AP,600186,IN,OWNER_OCCUPIED,532979.93,4631597.07
186,186,LOC000186,286 Main Street,Suite 37,Kochi,KL,600187,US,TENANT_OCCUPIED,10999813.94,3611178.5
187,187,LOC000187,287 Main Street,,Delhi,DL,600188,IN,VACANT,14968026.52,3369611.1
188,188,LOC000188,288 Main Street,,Ahmedabad,GJ,600189,US,UNDER_CONSTRUCTION,7602318.7,396370.37
189,189,LOC000189,289 Main Street,Suite 40,Jaipur,RJ,600190,IN,OWNER_OCCUPIED,13452634.86,1684490.18
190,190,LOC000190,290 Main Street,,Kolkata,WB,600191,US,TENANT_OCCUPIED,6621355.08,4247675.63
191,191,LOC000191,291 Main Street,,Chennai,TN,600192,IN,VACANT,14535208.13,1536595.23
192,192,LOC000192,292 Main Street,Suite 43,Bengaluru,KA,600193,US,UNDER_CONSTRUCTION,6531050.91,2071544.9
193,193,LOC000193,293 Main Street,,Mumbai,MH,600194,IN,OWNER_OCCUPIED,8346807.55,1513493.25
194,194,LOC000194,294 Main Street,,Hyderabad,TS,600195,US,TENANT_OCCUPIED,2982112.08,2131209.35
195,195,LOC000195,295 Main Street,Suite 46,Vijayawada,AP,600196,IN,VACANT,18837091.58,3402723.83
196,196,LOC000196,296 Main Street,,Kochi,KL,600197,US,UNDER_CONSTRUCTION,18104708.14,3096798.83
197,197,LOC000197,297 Main Street,,Delhi,DL,600198,IN,OWNER_OCCUPIED,6368522.55,2762289.21
198,198,LOC000198,298 Main Street,Suite 49,Ahmedabad,GJ,600199,US,TENANT_OCCUPIED,507915.82,1470222.9
199,199,LOC000199,299 Main Street,,Jaipur,RJ,600200,IN,VACANT,8882818.92,2920924.67
200,200,LOC000200,300 Main Street,,Kolkata,WB,600201,US,UNDER_CONSTRUCTION,13266759.66,2351691.54
201,201,LOC000201,301 Main Street,Suite 2,Chennai,TN,600202,IN,OWNER_OCCUPIED,9122116.09,1107821.93
202,202,LOC000202,302 Main Street,,Bengaluru,KA,600203,US,TENANT_OCCUPIED,9727130.63,4510845.09
203,203,LOC000203,303 Main Street,,Mumbai,MH,600204,IN,VACANT,16022482.82,889972.41
204,204,LOC000204,304 Main Street,Suite 5,Hyderabad,TS,600205,US,UNDER_CONSTRUCTION,2153512.97,2601487.45
205,205,LOC000205,305 Main Street,,Vijayawada,AP,600206,IN,OWNER_OCCUPIED,12842346.69,1709181.86
206,206,LOC000206,306 Main Street,,Kochi,KL,600207,US,TENANT_OCCUPIED,16459257.56,3768133.78
207,207,LOC000207,307 Main Street,Suite 8,Delhi,DL,600208,IN,VACANT,13619515.58,1161971.3
208,208,LOC000208,308 Main Street,,Ahmedabad,GJ,600209,US,UNDER_CONSTRUCTION,4383033.69,170905.67
209,209,LOC000209,309 Main Street,,Jaipur,RJ,600210,IN,OWNER_OCCUPIED,5274429.61,2401924.9
210,210,LOC000210,310 Main Street,Suite 11,Kolkata,WB,600211,US,TENANT_OCCUPIED,17069885.05,410499.73
211,211,LOC000211,311 Main Street,,Chennai,TN,600212,IN,VACANT,8581599.71,3167338.63
212,212,LOC000212,312 Main Street,,Bengaluru,KA,600213,US,UNDER_CONSTRUCTION,4291487.12,3496953.54
213,213,LOC000213,313 Main Street,Suite 14,Mumbai,MH,600214,IN,OWNER_OCCUPIED,10140354.8,1257722.98
214,214,LOC000214,314 Main Street,,Hyderabad,TS,600215,US,TENANT_OCCUPIED,13293131.22,77446.85
215,215,LOC000215,315 Main Street,,Vijayawada,AP,600216,IN,VACANT,15143807.29,3861728.63
216,216,LOC000216,316 Main Street,Suite 17,Kochi,KL,600217,US,UNDER_CONSTRUCTION,2578452.28,2154473.66
217,217,LOC000217,317 Main Street,,Delhi,DL,600218,IN,OWNER_OCCUPIED,3929790.29,4791931.91
218,218,LOC000218,318 Main Street,,Ahmedabad,GJ,600219,US,TENANT_OCCUPIED,10600176.13,298581.01
219,219,LOC000219,319 Main Street,Suite 20,Jaipur,RJ,600220,IN,VACANT,5359366.45,4249264.92
220,220,LOC000220,320 Main Street,,Kolkata,WB,600221,US,UNDER_CONSTRUCTION,9401005.6,4017012.18
221,221,LOC000221,321 Main Street,,Chennai,TN,600222,IN,OWNER_OCCUPIED,13517765.79,4940067.64
222,222,LOC000222,322 Main Street,Suite 23,Bengaluru,KA,600223,US,TENANT_OCCUPIED,12111320.21,4752696.06
223,223,LOC000223,323 Main Street,,Mumbai,MH,600224,IN,VACANT,17882805.55,3082629.0
224,224,LOC000224,324 Main Street,,Hyderabad,TS,600225,US,UNDER_CONSTRUCTION,14525842.24,2548651.92
225,225,LOC000225,325 Main Street,Suite 26,Vijayawada,AP,600226,IN,OWNER_OCCUPIED,16696098.81,2761966.16
226,226,LOC000226,326 Main Street,,Kochi,KL,600227,US,TENANT_OCCUPIED,17995558.01,3731094.44
227,227,LOC000227,327 Main Street,,Delhi,DL,600228,IN,VACANT,9756151.52,1332998.16
228,228,LOC000228,328 Main Street,Suite 29,Ahmedabad,GJ,600229,US,UNDER_CONSTRUCTION,5321174.88,3206424.11
229,229,LOC000229,329 Main Street,,Jaipur,RJ,600230,IN,OWNER_OCCUPIED,15433366.84,2630434.07
230,230,LOC000230,330 Main Street,,Kolkata,WB,600231,US,TENANT_OCCUPIED,12721594.52,1409257.36
231,231,LOC000231,331 Main Street,Suite 32,Chennai,TN,600232,IN,VACANT,2010925.4,1464354.35
232,232,LOC000232,332 Main Street,,Bengaluru,KA,600233,US,UNDER_CONSTRUCTION,5798444.59,1632562.36
233,233,LOC000233,333 Main Street,,Mumbai,MH,600234,IN,OWNER_OCCUPIED,11032968.34,734951.6
234,234,LOC000234,334 Main Street,Suite 35,Hyderabad,TS,600235,US,TENANT_OCCUPIED,5009598.85,3485051.57
235,235,LOC000235,335 Main Street,,Vijayawada,AP,600236,IN,VACANT,14275173.26,367932.81
236,236,LOC000236,336 Main Street,,Kochi,KL,600237,US,UNDER_CONSTRUCTION,8448187.71,2735925.15
237,237,LOC000237,337 Main Street,Suite 38,Delhi,DL,600238,IN,OWNER_OCCUPIED,8607597.57,1073830.23
238,238,LOC000238,338 Main Street,,Ahmedabad,GJ,600239,US,TENANT_OCCUPIED,8692798.6,4528950.47
239,239,LOC000239,339 Main Street,,Jaipur,RJ,600240,IN,VACANT,11889548.58,3492838.78
240,240,LOC000240,340 Main Street,Suite 41,Kolkata,WB,600241,US,UNDER_CONSTRUCTION,17206274.63,3839693.15
